,ID,mangaid,subfind_id,ifusize,redshift,lambda_r,star_axis,gas_axis,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature
2631,TNG100-284950-IFU-91,1-91010,284950,91,0.03422886830150407,0.6335089501480786,334.5,341.0,6.5,2,0,2,0
2632,TNG100-512906-IFU-91,1-91019,512906,91,0.030786817243051764,0.2464982567289643,179.5,205.0,25.5,1,0,1,0
2633,TNG100-314367-IFU-127,1-90176,314367,127,0.0647258295372876,0.6474055104080747,220.5,240.0,19.5,1,0,1,0
2634,TNG100-493920-IFU-37,1-90192,493920,37,0.03291267528603404,0.4299617952881549,97.0,,,2,0,0,0
2635,TNG100-161170-IFU-37,1-632698,161170,37,0.030413909755219844,0.5375335332882359,221.5,,,2,0,0,0
2636,TNG100-487496-IFU-61,1-90213,487496,61,0.08597354041310462,0.7477057608211931,255.5,254.5,1.0,2,0,2,0
2637,TNG100-524765-IFU-91,1-91016,524765,91,0.030108576589455708,0.8905074147230325,201.5,200.5,1.0,2,0,2,0
2638,TNG100-638541-IFU-127,1-90231,638541,127,0.021881872239747663,0.8756637509810515,158.0,164.5,6.5,1,0,1,0
2639,TNG100-212840-IFU-127,1-419427,212840,127,0.06924860420535303,0.5291793349181484,148.0,,,1,0,0,0
2640,TNG100-137889-IFU-37,1-419536,137889,37,0.06511843339851292,0.5948574542484809,133.5,,,2,0,0,0
2641,TNG100-340585-IFU-37,1-419504,340585,37,0.07378661917096924,0.16502613921164885,110.0,120.5,10.5,1,0,0,0
2642,TNG100-491189-IFU-61,1-401919,491189,61,0.06324563076504616,0.17841869401072494,333.0,190.5,142.5,1,0,1,0
2643,TNG100-409645-IFU-91,1-419555,409645,91,0.07594317658526584,0.1289855262311499,333.0,359.5,26.5,1,0,1,0
2644,TNG100-534859-IFU-19,1-419351,534859,19,0.02712514939072973,0.4997150464356298,315.5,288.0,27.5,2,0,2,0
2645,TNG100-493634-IFU-19,1-419380,493634,19,0.028451857006776007,0.634326832454609,186.0,189.0,3.0,2,0,2,0
